customer_id,total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts,cluster,customer_segment
CM00157,10.0,135.47,28.27,16.0,3.0,0,Bargain Hunter
CM00158,20.0,47.79,8.05,19.0,12.0,2,Window Shopper
CM00159,8.0,166.65,25.53,12.0,2.0,0,Bargain Hunter
CM00160,5.0,60.09,99.45,51.0,0.0,1,High Spender
CM00161,13.0,181.37,51.34,23.0,0.0,0,Bargain Hunter
CM00162,6.0,39.65,85.98,43.0,0.0,1,High Spender
CM00163,3.0,46.89,114.76,51.0,0.0,1,High Spender
CM00164,5.0,65.82,76.11,44.0,1.0,1,High Spender
CM00165,10.0,109.8,22.19,20.0,1.0,0,Bargain Hunter
CM00166,12.0,106.14,27.95,16.0,1.0,0,Bargain Hunter
CM00167,4.0,72.83,80.42,49.0,2.0,1,High Spender
CM00168,18.0,44.87,14.33,15.0,9.0,2,Window Shopper
CM00169,7.0,158.56,23.51,20.0,3.0,0,Bargain Hunter
CM00170,15.0,137.78,50.63,17.0,4.0,0,Bargain Hunter
CM00171,21.0,30.98,26.79,13.0,6.0,2,Window Shopper
CM00172,30.0,29.82,7.04,10.0,10.0,2,Window Shopper
CM00173,7.0,172.89,38.87,32.0,5.0,0,Bargain Hunter
CM00174,15.0,18.81,29.43,9.0,21.0,2,Window Shopper
CM00175,8.0,141.08,21.56,23.0,0.0,0,Bargain Hunter
CM00176,21.0,32.63,25.2,17.0,7.0,2,Window Shopper
CM00177,13.0,164.82,30.77,18.0,3.0,0,Bargain Hunter
CM00178,5.0,33.67,101.79,33.0,1.0,1,High Spender
CM00179,16.0,20.68,24.06,20.0,8.0,2,Window Shopper
CM00180,3.0,33.29,90.84,43.0,0.0,1,High Spender
CM00181,28.0,13.48,21.47,29.0,17.0,2,Window Shopper
CM00182,21.0,18.88,9.09,16.0,9.0,2,Window Shopper
CM00183,4.0,59.32,70.28,43.0,1.0,1,High Spender
CM00184,27.0,47.71,8.71,10.0,9.0,2,Window Shopper
CM00185,17.0,26.38,8.28,16.0,13.0,2,Window Shopper
CM00186,14.0,16.25,11.84,18.0,15.0,2,Window Shopper
CM00187,3.0,50.27,104.14,56.0,2.0,1,High Spender
CM00188,7.0,176.65,40.0,24.0,2.0,0,Bargain Hunter
CM00189,13.0,140.54,48.7,12.0,2.0,0,Bargain Hunter
CM00190,8.0,161.36,38.34,12.0,3.0,0,Bargain Hunter
CM00191,15.0,34.02,5.24,10.0,3.0,2,Window Shopper
CM00192,18.0,23.67,9.89,9.0,6.0,2,Window Shopper
CM00193,14.0,164.18,27.6,28.0,3.0,0,Bargain Hunter
CM00194,5.0,72.58,73.91,53.0,1.0,1,High Spender
CM00195,5.0,144.26,24.5,17.0,3.0,0,Bargain Hunter
CM00196,27.0,41.45,6.43,12.0,13.0,2,Window Shopper
CM00197,23.0,41.02,20.52,12.0,8.0,2,Window Shopper
CM00198,29.0,37.12,21.69,16.0,12.0,2,Window Shopper
CM00199,13.0,123.37,20.55,20.0,3.0,0,Bargain Hunter
CM00200,18.0,47.01,29.69,17.0,4.0,2,Window Shopper
CM00201,8.0,77.02,74.75,46.0,0.0,1,High Spender
CM00202,5.0,171.21,49.69,18.0,3.0,0,Bargain Hunter
CM00203,18.0,13.08,27.73,19.0,9.0,2,Window Shopper
CM00204,3.0,39.74,114.54,47.0,1.0,1,High Spender
CM00205,10.0,125.23,26.15,21.0,4.0,0,Bargain Hunter
CM00206,12.0,109.44,39.35,21.0,0.0,0,Bargain Hunter
CM00207,3.0,22.14,90.9,51.0,1.0,1,High Spender
CM00208,8.0,158.66,33.15,19.0,0.0,0,Bargain Hunter
CM00209,7.0,150.0,37.19,15.0,1.0,0,Bargain Hunter
CM00210,3.0,48.25,68.04,60.0,1.0,1,High Spender
CM00211,10.0,128.03,53.15,21.0,4.0,0,Bargain Hunter
CM00212,,,42.7,,0.0,0,Bargain Hunter
CM00212,,,42.7,,0.0,0,Bargain Hunter
CM00213,11.0,184.22,49.69,14.0,2.0,0,Bargain Hunter
CM00214,5.0,23.24,107.05,55.0,0.0,1,High Spender
CM00215,18.0,21.88,5.79,13.0,9.0,2,Window Shopper
CM00216,12.0,120.23,43.81,23.0,2.0,0,Bargain Hunter
CM00217,9.0,104.03,22.15,11.0,4.0,0,Bargain Hunter
CM00218,15.0,34.31,29.13,10.0,14.0,2,Window Shopper
CM00219,3.0,74.57,96.94,64.0,3.0,1,High Spender
CM00220,11.0,160.44,37.63,22.0,1.0,0,Bargain Hunter
CM00221,4.0,36.2,72.94,55.0,2.0,1,High Spender
CM00222,9.0,135.66,21.01,24.0,2.0,0,Bargain Hunter
CM00223,8.0,27.63,67.57,38.0,2.0,1,High Spender
CM00224,12.0,50.69,111.24,43.0,0.0,1,High Spender
CM00225,10.0,163.24,27.85,25.0,0.0,0,Bargain Hunter
CM00226,22.0,13.66,21.47,15.0,9.0,2,Window Shopper
CM00227,23.0,35.3,5.19,14.0,7.0,2,Window Shopper
CM00228,16.0,33.29,17.15,21.0,9.0,2,Window Shopper
CM00229,21.0,41.19,24.12,16.0,16.0,2,Window Shopper
CM00230,23.0,31.58,17.31,11.0,11.0,2,Window Shopper
CM00231,12.0,107.93,57.8,26.0,3.0,0,Bargain Hunter
CM00232,16.0,18.82,26.7,26.0,6.0,2,Window Shopper
CM00233,6.0,131.58,25.53,17.0,2.0,0,Bargain Hunter
CM00234,5.0,175.35,43.88,15.0,3.0,0,Bargain Hunter
CM00235,15.0,195.79,25.57,23.0,4.0,0,Bargain Hunter
CM00236,18.0,44.95,17.99,22.0,13.0,2,Window Shopper
CM00237,15.0,159.35,26.35,15.0,2.0,0,Bargain Hunter
CM00238,7.0,54.4,81.83,41.0,1.0,1,High Spender
CM00239,7.0,27.37,117.7,42.0,0.0,1,High Spender
CM00240,12.0,105.46,46.84,19.0,3.0,0,Bargain Hunter
CM00241,4.0,195.46,50.05,24.0,3.0,0,Bargain Hunter
CM00242,2.0,28.16,97.8,63.0,1.0,1,High Spender
CM00243,6.0,43.49,98.28,51.0,2.0,1,High Spender
CM00244,20.0,17.46,16.37,17.0,8.0,2,Window Shopper
CM00245,4.0,35.83,82.92,46.0,1.0,1,High Spender
CM00246,3.0,58.11,111.66,52.0,1.0,1,High Spender
CM00247,11.0,163.78,45.98,23.0,0.0,0,Bargain Hunter
CM00248,17.0,22.75,26.77,10.0,11.0,2,Window Shopper
CM00249,27.0,46.0,20.45,9.0,8.0,2,Window Shopper
CM00250,5.0,187.8,59.83,21.0,2.0,0,Bargain Hunter
CM00251,7.0,167.64,36.63,24.0,1.0,0,Bargain Hunter
CM00252,11.0,133.14,29.56,27.0,0.0,0,Bargain Hunter
CM00253,,,21.28,,12.0,2,Window Shopper
CM00253,,,21.28,,12.0,2,Window Shopper
CM00254,7.0,47.47,22.73,12.0,7.0,2,Window Shopper
CM00255,20.0,33.61,26.12,18.0,10.0,2,Window Shopper
CM00256,3.0,49.74,62.45,41.0,0.0,1,High Spender
CM00257,2.0,63.47,73.21,51.0,2.0,1,High Spender
CM00258,13.0,10.44,8.56,15.0,6.0,2,Window Shopper
CM00259,23.0,34.13,25.01,15.0,12.0,2,Window Shopper
CM00260,11.0,43.78,27.81,14.0,12.0,2,Window Shopper
CM00261,4.0,76.83,86.16,66.0,1.0,1,High Spender
CM00262,2.0,29.35,72.22,63.0,1.0,1,High Spender
CM00263,8.0,111.82,42.81,26.0,4.0,0,Bargain Hunter
CM00264,24.0,37.85,9.49,16.0,10.0,2,Window Shopper
CM00265,13.0,183.15,36.74,18.0,2.0,0,Bargain Hunter
CM00266,27.0,24.03,29.25,4.0,11.0,2,Window Shopper
CM00267,10.0,158.45,32.14,19.0,5.0,0,Bargain Hunter
CM00268,18.0,31.65,28.89,12.0,7.0,2,Window Shopper
CM00269,14.0,18.6,22.85,16.0,7.0,2,Window Shopper
CM00270,3.0,60.45,115.48,47.0,1.0,1,High Spender
CM00271,9.0,152.55,54.66,9.0,3.0,0,Bargain Hunter
CM00272,7.0,55.13,62.33,37.0,1.0,1,High Spender
CM00273,23.0,34.68,13.53,9.0,8.0,2,Window Shopper
CM00274,11.0,163.37,25.32,18.0,2.0,0,Bargain Hunter
CM00275,18.0,36.88,22.34,16.0,9.0,2,Window Shopper
CM00276,9.0,112.43,49.68,20.0,1.0,0,Bargain Hunter
CM00277,6.0,55.37,80.89,48.0,2.0,1,High Spender
CM00278,16.0,110.34,43.02,14.0,0.0,0,Bargain Hunter
CM00279,13.0,195.05,27.57,31.0,2.0,0,Bargain Hunter
CM00280,6.0,44.64,117.6,52.0,2.0,1,High Spender
CM00281,7.0,66.88,90.34,37.0,3.0,1,High Spender
CM00282,6.0,69.7,87.26,47.0,1.0,1,High Spender
CM00283,12.0,190.03,47.68,15.0,1.0,0,Bargain Hunter
CM00284,2.0,62.42,115.92,48.0,2.0,1,High Spender
CM00285,11.0,182.05,55.46,21.0,2.0,0,Bargain Hunter
CM00286,10.0,195.98,56.83,21.0,1.0,0,Bargain Hunter
CM00287,1.0,31.79,79.76,44.0,2.0,1,High Spender
CM00288,21.0,33.9,18.99,9.0,12.0,2,Window Shopper
CM00289,20.0,105.12,36.89,24.0,4.0,0,Bargain Hunter
CM00290,7.0,172.21,26.75,17.0,6.0,0,Bargain Hunter
CM00291,5.0,38.53,88.54,45.0,0.0,1,High Spender
CM00292,7.0,52.25,63.87,51.0,0.0,1,High Spender
CM00293,7.0,25.46,108.63,46.0,1.0,1,High Spender
CM00294,,,47.8,,2.0,0,Bargain Hunter
CM00294,,,47.8,,2.0,0,Bargain Hunter
CM00295,9.0,164.1,48.81,25.0,4.0,0,Bargain Hunter
CM00296,9.0,117.46,34.0,17.0,3.0,0,Bargain Hunter
CM00297,10.0,27.45,28.02,16.0,13.0,2,Window Shopper
CM00298,11.0,121.79,47.02,18.0,1.0,0,Bargain Hunter
CM00299,13.0,138.21,24.42,17.0,4.0,0,Bargain Hunter
CM00300,2.0,72.91,79.32,38.0,3.0,1,High Spender
CM00301,2.0,77.77,85.53,57.0,1.0,1,High Spender
CM00302,26.0,20.89,20.0,17.0,7.0,2,Window Shopper
CM00303,7.0,77.5,94.62,48.0,0.0,1,High Spender
CM00304,7.0,51.39,112.33,53.0,1.0,1,High Spender
CM00305,11.0,140.15,35.07,19.0,1.0,0,Bargain Hunter
CM00306,16.0,15.6,7.93,8.0,12.0,2,Window Shopper
CM00307,5.0,60.28,90.79,52.0,1.0,1,High Spender
CM00308,16.0,158.17,58.25,18.0,4.0,0,Bargain Hunter
CM00309,2.0,50.99,105.8,57.0,2.0,1,High Spender
CM00310,,,82.11,,0.0,1,High Spender
CM00310,,,82.11,,0.0,1,High Spender
CM00311,5.0,61.21,87.03,45.0,1.0,1,High Spender
CM00312,23.0,49.51,23.57,13.0,6.0,2,Window Shopper
CM00313,6.0,105.7,28.56,19.0,4.0,0,Bargain Hunter
CM00314,3.0,68.54,94.28,55.0,0.0,1,High Spender
CM00315,12.0,27.84,10.71,17.0,16.0,2,Window Shopper
CM00316,2.0,48.85,93.13,48.0,2.0,1,High Spender
CM00317,,,55.19,,0.0,0,Bargain Hunter
CM00317,,,55.19,,0.0,0,Bargain Hunter
CM00318,6.0,74.66,78.21,51.0,2.0,1,High Spender
CM00319,4.0,44.77,60.68,47.0,0.0,1,High Spender
CM00320,14.0,14.1,27.45,18.0,12.0,2,Window Shopper
CM00321,4.0,34.24,66.45,48.0,0.0,1,High Spender
CM00322,5.0,63.41,118.56,64.0,1.0,1,High Spender
CM00323,24.0,29.85,27.37,16.0,12.0,2,Window Shopper
CM00324,17.0,32.39,23.74,11.0,12.0,2,Window Shopper
CM00325,5.0,43.31,111.55,42.0,1.0,1,High Spender
CM00326,23.0,31.67,11.72,13.0,5.0,2,Window Shopper
CM00327,5.0,32.21,75.13,55.0,0.0,1,High Spender
CM00328,11.0,12.61,9.52,12.0,13.0,2,Window Shopper
CM00329,17.0,10.85,29.24,7.0,9.0,2,Window Shopper
CM00330,7.0,141.48,45.81,20.0,2.0,0,Bargain Hunter
CM00331,6.0,154.13,28.79,20.0,1.0,0,Bargain Hunter
CM00332,19.0,29.04,6.3,11.0,9.0,2,Window Shopper
CM00333,6.0,75.14,116.6,57.0,2.0,1,High Spender
CM00334,3.0,74.88,79.18,46.0,0.0,1,High Spender
CM00335,7.0,37.35,104.18,47.0,0.0,1,High Spender
CM00336,16.0,15.15,20.09,15.0,9.0,2,Window Shopper
CM00337,4.0,22.95,61.91,39.0,0.0,1,High Spender
CM00338,24.0,18.95,9.43,13.0,4.0,2,Window Shopper
CM00339,11.0,148.96,35.67,35.0,2.0,0,Bargain Hunter
CM00340,5.0,38.8,78.9,54.0,5.0,1,High Spender
CM00341,6.0,46.93,109.08,48.0,2.0,1,High Spender
CM00342,6.0,44.89,97.04,51.0,0.0,1,High Spender
CM00343,21.0,11.08,16.28,16.0,8.0,2,Window Shopper
CM00344,21.0,20.62,20.45,12.0,8.0,2,Window Shopper
CM00345,7.0,195.67,54.46,19.0,1.0,0,Bargain Hunter
CM00346,3.0,151.17,27.83,17.0,1.0,0,Bargain Hunter
CM00347,9.0,108.99,27.24,18.0,4.0,0,Bargain Hunter
CM00348,9.0,141.41,35.72,23.0,1.0,0,Bargain Hunter
CM00349,18.0,14.82,22.9,9.0,12.0,2,Window Shopper
CM00350,30.0,19.55,22.67,11.0,8.0,2,Window Shopper
CM00351,8.0,130.57,23.66,21.0,0.0,0,Bargain Hunter
CM00352,4.0,36.46,106.83,51.0,1.0,1,High Spender
CM00353,,,45.26,,1.0,0,Bargain Hunter
CM00353,,,45.26,,1.0,0,Bargain Hunter
CM00354,3.0,63.22,109.23,64.0,2.0,1,High Spender
CM00355,5.0,68.49,75.21,53.0,1.0,1,High Spender
CM00356,1.0,44.21,102.59,43.0,0.0,1,High Spender
CM00357,16.0,198.25,40.44,17.0,3.0,0,Bargain Hunter
CM00358,5.0,71.94,73.7,44.0,0.0,1,High Spender
CM00359,22.0,28.7,16.3,11.0,15.0,2,Window Shopper
CM00360,14.0,37.19,10.15,11.0,17.0,2,Window Shopper
CM00361,7.0,193.47,59.06,21.0,2.0,0,Bargain Hunter
CM00362,17.0,44.05,24.56,18.0,7.0,2,Window Shopper
CM00363,5.0,65.77,91.62,43.0,0.0,1,High Spender
CM00364,6.0,52.02,82.02,40.0,2.0,1,High Spender
CM00365,18.0,18.73,7.8,10.0,8.0,2,Window Shopper
CM00366,19.0,191.73,49.23,17.0,0.0,0,Bargain Hunter
CM00367,6.0,182.01,46.76,20.0,2.0,0,Bargain Hunter
CM00368,6.0,51.14,66.87,44.0,1.0,1,High Spender
CM00369,11.0,178.35,54.34,19.0,1.0,0,Bargain Hunter
CM00370,15.0,48.76,8.49,11.0,12.0,2,Window Shopper
CM00371,22.0,11.02,16.15,13.0,9.0,2,Window Shopper
CM00372,12.0,157.16,34.29,19.0,3.0,0,Bargain Hunter
CM00373,4.0,35.12,87.86,56.0,1.0,1,High Spender
CM00374,13.0,133.54,37.77,27.0,3.0,0,Bargain Hunter
CM00375,22.0,39.13,23.29,23.0,6.0,2,Window Shopper
CM00376,7.0,59.53,96.17,51.0,0.0,1,High Spender
CM00377,10.0,159.57,52.1,17.0,3.0,0,Bargain Hunter
CM00378,5.0,56.39,95.79,43.0,1.0,1,High Spender
CM00379,14.0,157.69,28.99,15.0,2.0,0,Bargain Hunter
CM00380,15.0,42.26,22.01,16.0,11.0,2,Window Shopper
CM00381,20.0,33.7,26.96,8.0,11.0,2,Window Shopper
CM00382,14.0,25.89,14.94,12.0,10.0,2,Window Shopper
CM00383,12.0,176.37,55.2,21.0,3.0,0,Bargain Hunter
CM00384,17.0,48.84,27.52,12.0,16.0,2,Window Shopper
CM00385,15.0,134.27,34.22,18.0,0.0,0,Bargain Hunter
CM00386,7.0,74.43,95.62,47.0,0.0,1,High Spender
CM00387,7.0,113.46,46.77,17.0,1.0,0,Bargain Hunter
CM00388,8.0,100.42,29.31,17.0,3.0,0,Bargain Hunter
CM00389,10.0,111.51,32.49,19.0,2.0,0,Bargain Hunter
CM00390,8.0,45.1,100.06,50.0,1.0,1,High Spender
CM00391,5.0,158.56,36.01,21.0,1.0,0,Bargain Hunter
CM00392,23.0,19.2,8.29,17.0,8.0,2,Window Shopper
CM00393,13.0,118.53,36.75,17.0,0.0,0,Bargain Hunter
CM00394,9.0,150.03,36.39,26.0,3.0,0,Bargain Hunter
CM00395,13.0,42.38,22.24,9.0,7.0,2,Window Shopper
CM00396,5.0,71.47,79.55,50.0,0.0,1,High Spender
CM00397,6.0,44.34,101.89,50.0,0.0,1,High Spender
CM00398,5.0,69.63,64.78,59.0,0.0,1,High Spender
CM00399,20.0,48.52,5.46,16.0,9.0,2,Window Shopper
CM00400,7.0,78.92,61.83,37.0,1.0,1,High Spender
CM00401,9.0,169.78,22.38,18.0,2.0,0,Bargain Hunter
CM00402,8.0,168.93,20.81,20.0,2.0,0,Bargain Hunter
CM00403,16.0,18.32,5.78,11.0,11.0,2,Window Shopper
